date,temp,humidity
2023-11-07 16:30:00,24.5,92
2023-11-07 16:30:12,24.5,92
2023-11-07 16:30:22,24.5,92
2023-11-07 16:30:32,24.5,92
2023-11-07 16:30:41,24.5,92
2023-11-07 16:30:51,24.5,92
2023-11-07 16:31:00,24.5,92
2023-11-07 16:31:10,24.5,92
2023-11-07 16:31:20,24.5,92
2023-11-07 16:31:29,24.5,93
2023-11-07 16:31:39,24.5,93
2023-11-07 16:31:50,24.5,93
2023-11-07 16:32:00,24.5,93
2023-11-07 16:32:09,24.5,93
2023-11-07 16:32:21,24.5,93
2023-11-07 16:32:31,24.5,93
2023-11-07 16:32:40,24.5,93
2023-11-07 16:32:50,24.5,93
2023-11-07 16:33:00,24.5,93
2023-11-07 16:33:09,24.5,93
2023-11-07 16:33:19,24.5,93
2023-11-07 16:33:28,24.5,93
2023-11-07 16:33:38,24.5,93
2023-11-07 16:33:47,24.5,93
2023-11-07 16:33:57,24.5,93
2023-11-07 16:34:07,24.4,93
2023-11-07 16:34:17,24.3,93
2023-11-07 16:34:26,24.2,93
2023-11-07 16:34:36,24.2,93
2023-11-07 16:34:46,24.2,93
2023-11-07 16:34:55,24.1,93
2023-11-07 16:35:05,24.1,93
2023-11-07 16:35:15,24.1,93
2023-11-07 16:35:24,24.1,93
2023-11-07 16:35:34,24.1,93
2023-11-07 16:35:44,24.1,93
2023-11-07 16:35:54,24.1,93
2023-11-07 16:36:04,24.1,93
2023-11-07 16:36:13,24.1,93
2023-11-07 16:36:23,24.1,93
2023-11-07 16:36:32,24.1,93
2023-11-07 16:36:42,24.1,93
2023-11-07 16:36:51,24.1,93
2023-11-07 16:37:01,24.1,93
2023-11-07 16:37:11,24.1,93
2023-11-07 16:37:20,24.1,93
2023-11-07 16:37:30,24.1,93
2023-11-07 16:37:40,24.1,93
2023-11-07 16:37:49,24.1,93
2023-11-07 16:37:59,24.1,93
2023-11-07 16:38:08,24.1,93
2023-11-07 16:38:18,24.1,93
2023-11-07 16:38:27,24.1,93
2023-11-07 16:38:37,24.1,93
2023-11-07 16:38:47,24.1,93
2023-11-07 16:38:57,24.1,93
2023-11-07 16:39:07,24.1,93
2023-11-07 16:39:17,24.1,93
2023-11-07 16:39:27,24.1,93
2023-11-07 16:39:36,24.1,93
2023-11-07 16:39:46,24.1,93
2023-11-07 16:39:55,24.1,93
2023-11-07 16:40:07,24.1,93
2023-11-07 16:40:16,24.1,93
2023-11-07 16:40:26,24.1,93
2023-11-07 16:40:35,24.1,93
2023-11-07 16:40:45,24.1,93
2023-11-07 16:40:54,24.1,93
2023-11-07 16:41:04,24.1,93
2023-11-07 16:41:14,24.1,93
2023-11-07 16:41:24,24.1,93
2023-11-07 16:41:33,24.1,93
2023-11-07 16:41:42,24.1,93
2023-11-07 16:41:52,24.1,93
2023-11-07 16:42:03,24.1,93
2023-11-07 16:42:12,24.1,93
2023-11-07 16:42:22,24.1,93
2023-11-07 16:42:32,24.1,93
2023-11-07 16:42:42,24.1,94
2023-11-07 16:42:52,24.1,94
2023-11-07 16:43:01,24.1,94
2023-11-07 16:43:11,24.1,94
2023-11-07 16:43:20,24.1,94
2023-11-07 16:43:29,24.1,94
2023-11-07 16:43:39,24.1,94
2023-11-07 16:43:48,24.1,94
2023-11-07 16:43:58,24.1,94
2023-11-07 16:44:07,24.1,94
2023-11-07 16:44:17,24.1,94
2023-11-07 16:44:27,24.1,94
2023-11-07 16:44:36,24.1,94
2023-11-07 16:44:46,24.1,94
2023-11-07 16:44:55,24.1,94
2023-11-07 16:45:05,24.1,94
2023-11-07 16:45:14,24.1,94
2023-11-07 16:45:24,24.1,94
2023-11-07 16:45:35,24.1,94
2023-11-07 16:45:44,24.1,94
2023-11-07 16:45:53,24.1,94
2023-11-07 16:46:02,24.1,94
2023-11-07 16:46:12,24.1,94
2023-11-07 16:46:22,24.1,94
2023-11-07 16:46:31,24.1,94
2023-11-07 16:46:42,24.1,94
2023-11-07 16:46:51,24.1,94
2023-11-07 16:47:01,24.1,94
2023-11-07 16:47:12,24.1,94
2023-11-07 16:47:21,23.9,94
2023-11-07 16:47:31,23.8,94
2023-11-07 16:47:40,23.8,94
2023-11-07 16:47:50,23.8,94
2023-11-07 16:48:00,23.8,94
2023-11-07 16:48:10,23.8,94
2023-11-07 16:48:19,23.8,94
2023-11-07 16:48:29,23.8,94
2023-11-07 16:48:38,23.8,94
2023-11-07 16:48:48,23.8,94
2023-11-07 16:48:59,23.8,94
2023-11-07 16:49:08,23.8,94
2023-11-07 16:49:18,23.8,94
2023-11-07 16:49:30,23.8,94
2023-11-07 16:49:40,23.8,94
2023-11-07 16:49:49,23.8,94
2023-11-07 16:49:59,23.8,94
2023-11-07 16:50:09,23.8,94
2023-11-07 16:50:19,23.8,94
2023-11-07 16:50:30,23.8,94
2023-11-07 16:50:40,23.8,94
2023-11-07 16:50:50,23.8,94
2023-11-07 16:51:00,23.8,94
2023-11-07 16:51:10,23.8,94
2023-11-07 16:51:21,23.8,94
2023-11-07 16:51:31,23.8,94
2023-11-07 16:51:42,23.8,94
2023-11-07 16:51:51,23.8,94
2023-11-07 16:52:01,23.8,94
2023-11-07 16:52:10,23.8,94
2023-11-07 16:52:20,23.8,94
2023-11-07 16:52:30,23.8,94
2023-11-07 16:52:39,23.8,94
2023-11-07 16:52:49,23.8,94
2023-11-07 16:52:59,23.8,94
2023-11-07 16:53:10,23.8,94
2023-11-07 16:53:20,23.8,94
2023-11-07 16:53:29,23.8,94
2023-11-07 16:53:39,23.8,94
2023-11-07 16:53:49,23.8,94
2023-11-07 16:53:58,23.8,94
2023-11-07 16:54:08,23.8,94
2023-11-07 16:54:18,23.8,94
2023-11-07 16:54:27,23.8,94
2023-11-07 16:54:37,23.8,94
2023-11-07 16:54:46,23.8,94
2023-11-07 16:54:57,23.8,94
2023-11-07 16:55:07,23.8,94
2023-11-07 16:55:16,23.8,94
2023-11-07 16:55:26,23.8,94
2023-11-07 16:55:36,23.8,94
2023-11-07 16:55:45,23.8,94
